,x,E_C(x),E_N(x),E_T(x),E_C(x)/E_T(x),E_N(x)/E_T(x)
339,2373.424250023866,1137.9539652548103,1170.9636574132276,2308.917622668038,0.49285169556628156,0.5071483044337185
340,2412.028207618007,1159.208285893598,1204.1638599416408,2363.372145835239,0.4904891038579633,0.5095108961420367
341,2451.2600620333374,1180.5223440312168,1221.8341500930028,2402.3564941242194,0.49140181605793565,0.5085981839420645
342,2491.1300260677885,1201.8723266393597,1231.7304263406163,2433.602752979976,0.49386545325347475,0.5061345467465254
343,2531.6484786313554,1216.1404981835296,1240.956280775611,2457.0967789591405,0.4949501821001545,0.5050498178998456
344,2572.8259674479323,1237.6035572057567,1258.7081341983198,2496.3116914040766,0.4957728481853377,0.5042271518146624
345,2614.6732118010923,1280.6149635531206,1247.1389771080749,2527.7539406611954,0.5066216861353778,0.4933783138646222
346,2657.201105324504,1302.1764130446923,1264.96063702984,2567.1370500745325,0.5072484980912436,0.4927515019087563
347,2700.4207188377727,1302.1764130446923,1336.0030550846668,2638.179468129359,0.4935890180238648,0.5064109819761352
348,2744.3433032283656,1316.6127618840678,1376.9293968801805,2693.5421587642486,0.488803473003039,0.5111965269969609
349,2788.9802923804396,1331.0680784432452,1394.1681647814048,2725.23624322465,0.4884230061714767,0.5115769938285233
350,2834.343306151309,1345.5622269298092,1435.247318926576,2780.8095458563853,0.48387428363614393,0.5161257163638561
351,2880.4441533962977,1381.8900384580215,1446.6597022196293,2828.549740677651,0.48855072922527243,0.5114492707747276
352,2927.294835042816,1411.0141866496301,1465.3840670845325,2876.3982537341626,0.49054896512255924,0.5094510348774407
353,2974.9075472144405,1440.2146954730974,1484.1384822268803,2924.353177699978,0.49248999965381585,0.5075100003461841
354,3023.2946844057765,1469.4621787636959,1494.9404474134394,2964.402626177135,0.4957026301986178,0.5042973698013823
355,3072.4688427090036,1484.1242925122488,1520.3944218676575,3004.518714379906,0.493964069988678,0.5060359300113221
356,3122.442823092858,1513.5108848972354,1539.2426836203374,3052.7535685175726,0.4957854772510188,0.5042145227489813
357,3173.229634734976,1542.9588948519836,1542.0266835033153,3084.985578355299,0.5001510884451469,0.49984891155485317
358,3224.842498408442,1572.4786532259252,1569.0060104291074,3141.484663655033,0.5005527072656114,0.4994472927343886
359,3277.294849923382,1609.439980464054,1580.5692503201665,3190.0092307842206,0.5045251797181776,0.4954748202818225
360,3330.6003436245887,1624.2691229606735,1622.4793386595602,3246.7484616202337,0.5002756271885965,0.4997243728114034
361,3384.772855945983,1639.1078837670862,1664.4679642466058,3303.575848013692,0.49616172268380526,0.5038382773161948
362,3439.8264890229248,1668.860217219241,1675.3829252682085,3344.2431424874494,0.49902478561350716,0.5009752143864928
363,3495.775574363275,1706.1481797915983,1695.1487722365075,3401.296952028106,0.501616943141135,0.49838305685886497
364,3552.6346765781395,1721.089764421257,1753.7209366963602,3474.810701117617,0.49530461151961347,0.5046953884803865
365,3610.4185971733373,1758.532301811119,1773.557635466872,3532.089937277991,0.49787302504712944,0.5021269749528706
366,3669.142378402494,1781.0547925883557,1808.4175821220592,3589.472374710415,0.4961884663430637,0.5038115336569363
367,3728.8213071828336,1796.104979825197,1867.302605361082,3663.407585186279,0.4902825956598732,0.5097174043401268
368,3789.4709190746676,1841.3263209009585,1871.4710593019915,3712.79738020295,0.49594042775377833,0.5040595722462217
369,3851.107002325569,1863.9861708184876,1914.7972322774026,3778.78340309589,0.4932767962544127,0.5067232037455873
370,3913.745601980384,1894.2699616202551,1942.3638940559335,3836.6338556761884,0.4937322749257758,0.5062677250742242
371,3977.403024058037,1917.0420003144322,1985.8121034148667,3902.854103729299,0.49118976763252276,0.5088102323674772
372,4042.095839796306,1962.6573555659536,2006.569086726201,3969.2264422921544,0.4944684774478514,0.5055315225521486
373,4107.840889965647,1993.134238239825,2042.5911661366633,4035.7254043764883,0.49387260988530024,0.5061273901146998
374,4174.6552892531345,2031.3266266053736,2071.0234293425383,4102.350055947912,0.4951616997335943,0.5048383002664057
375,4242.556430717777,2061.931064752215,2107.191574583063,4169.122639335278,0.49457193830138035,0.5054280616986196
376,4311.561990318229,2107.9395850859537,2136.417073765596,4244.35665885155,0.496645252629718,0.503354747370282
377,4381.68993151419,2123.3045327774053,2179.696453107255,4303.000985884661,0.49344737306418995,0.5065526269358099
378,4452.958509942656,2154.1093146944104,2216.047263001864,4370.156577696274,0.4929135321348024,0.5070864678651976
379,4525.386278170166,2184.9706896479256,2269.294305390997,4454.264995038922,0.49053450840520385,0.5094654915947963
380,4598.992090522438,2239.09719350892,2274.159717605859,4513.256911114779,0.49611560733329957,0.5038843926667005
381,4673.795107992463,2262.34210920057,2335.347167379465,4597.689276580035,0.4920606794209896,0.5079393205790105
382,4749.8148032285,2308.9176226680383,2347.9756095061302,4656.893232174169,0.4958064330777177,0.5041935669222823
383,4827.070965603183,2363.3721458352384,2378.2621855401344,4741.634331375373,0.49842986208295637,0.5015701379170435
384,4905.583706365045,2402.3564941242194,2390.2253311665,4792.581825290719,0.5012656187624907,0.49873438123750935
385,4985.373463873893,2433.602752979976,2452.545223539427,4886.147976519403,0.49806161513625047,0.5019383848637495
386,5066.461008921268,2457.0967789591405,2522.7791437127535,4979.875922671894,0.49340522075514165,0.5065947792448584
387,5148.867450137493,2496.3116914040766,2560.4031983059976,5056.714889710074,0.4936627327919613,0.5063372672080386
388,5232.614239486662,2527.7539406611954,2605.9537463585193,5133.707687019714,0.49238369123596115,0.507616308764039
